,,Consolidated Processing,,Market Center Processing,,,Note
Code,Name,Update Last,Update High/Low,Update Last,Update High/Low,Update Volume,
1,Regular,Yes,Yes,Yes,Yes,Yes,
2,Acquisition,Yes,Yes,Yes,Yes,Yes,
3,Average Price Trade,No,No,No,No,Yes,
4,Bunched ,Yes,Yes,Yes,Yes,Yes,
5,Cash Sale,No,No,No,No,Yes,
6,Distribution,Yes,Yes,Yes,Yes,Yes,
7,Auomatic Execution,Yes,Yes,Yes,Yes,Yes,
8,Intermarket Sweep Order,Yes,Yes,Yes,Yes,Yes,
9,Bunched Sold,#4,Yes,#4,Yes,Yes,
10,Price Variation Trade,No,No,No,No,Yes,
11,Cap Election,No,No,No,No,Yes,
12,Odd Lot Trade,No,No,No,No,Yes,
13,Rule 127,Yes,Yes,Yes,Yes,Yes,
14,Rule 155,Yes,Yes,Yes,Yes,Yes,
15,Sold last,#3,Yes,Yes,Yes,Yes,
16,Market Center Official Close,No,No,Yes,Yes,No,
17,Next day,No,No,No,No,Yes,
18,Market Center Opening Trade,#1,Yes,#1,Yes,Yes,
19,Opening Prints,Yes,Yes,Yes,Yes,Yes,
20,Market Center Official Open,No,No,No,Yes,No,
21,Prior Reference Price,#2,Yes,#2,Yes,Yes,
22,Seller,No,No,No,No,Yes,
23,Split Trade,Yes,Yes,Yes,Yes,Yes,
24,Form-T Trade,No,No,No,No,Yes,
25,Extended Hours (Sold Out of Sequence),No,No,No,No,Yes,
26,Contingent Trade,No,No,No,No,Yes,
27,Stock Option Trade,,,,,,
28,Cross Trade,Yes,Yes,Yes,Yes,Yes,
29,Yellow Flag,Yes,Yes,Yes,Yes,Yes,
30,Sold (Out of Sequence),#2,Yes,#2,Yes,Yes,
31,Stopped Stock,,,,,,
32,Derivatively Priced,#2,Yes,#2,Yes,Yes,
33,Market Center Re-opening Trade,Yes,Yes,Yes,Yes,Yes,
34,Re-opening Prints,,,,,,
35,Market Center Closing Trade,Yes,Yes,Yes,Yes,Yes,
36,Closing Prints,,,,,,
37,Qualified Contigent Trade,No,No,No,No,Yes,
38,Placeholder for 611 Exempt,,,,,,
39,Corrected Consolidated Close,Yes,Yes,No,No,No,
40,Opened,,,,,,
41,Trade Through Exempt (TTE),,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,#1,"YES, if it is the only qualifying last; OR If it is that Participantâ€™s first qualifying last; OTHERWISE NO",,,,,
,#2,"YES, if it is the only qualifying last; OTHERWISE NO",,,,,
,#3,"YES, if it is the only qualifying last; OR
If it is from the same participant as the last; OR
If it is from the LISTING MARKET for that Security;
OTHERWISE NO",,,,,
,#4,"YES, if it is the first qualifying or only qualifying trade of the day; OTHERWISE NO. (In instances of multiple Market Center Opening Trades, the latest trade takes precedence.)",,,,,